epoch,d_loss,g_loss,psnr
11,1.1501852355957032,0.12934980489696776,30.334770007309743
12,1.1304421015432902,0.12969921018566405,30.25449188565532
13,1.1049295385428837,0.1307724249822753,30.167912980509172
14,1.044212535388129,0.13191805383052144,30.157209487905693
15,0.9724483275583812,0.13378669158135142,30.134722438039084
16,0.931689578121049,0.13491674722858837,30.102121654823243
17,0.9074810826063157,0.1354746598473617,30.109547893884706
18,0.8692959501590047,0.13639502749528204,30.080184781790763
19,0.8542783311162676,0.13692132709707533,30.052398369661972
20,0.8354651131153107,0.1376892335976873,30.017430113354617
